,District,Building name,Date of the last case staying in the building during the symptomatic phase
0,Shatin,Alva Hotel by Royal,20/01/2020
1,Shatin,"Tower 1A, Oceanaire",21/01/2020
2,Shatin ,"Tower 1, Lake Silver",23/01/2020
3,Tuen Mun,South Hillcrest,24/01/2020
4,Kwai Tsing,"Hong Mei House, Cheung Hong Estate",24/01/2020
5,Eastern,Universal Towers,25/01/2020
6,Sai Kung,"Tower 2, Tseung Kwan O Plaza",26/01/2020
7,Yau Tsim Mong,W Hong Kong,28/01/2020
8,Central ,Four Seasons Hotel ,28/01/2020
9,Yau Tsim Mong,"Tower 2, The Coronation",30/01/2020
10,Kwai Ching,"Luk Kwai House, Kwai Chung Estate",30/01/2020
11,Kowloon City,"Block 1, Site 11, Whampoa Garden",01/02/2020
